image,true_label,pred_label
bee/bee_image_226.jpg,0,3
bee/bee_image_45.jpg,0,2
wasp/74427231_eb108c7dc8_n.jpg,3,0
wasp/2570683320_1f738571a6_m.jpg,3,2
bee/18696969590_b2d13b69b2_n.jpg,0,3
other_insect/insect_image_285.jpg,1,3
bee/bee_image_270.jpg,0,2
wasp/3118025738_bbffb90394_n.jpg,3,2
wasp/43821635452_b4e6782577_w.jpg,3,0
wasp/19745360585_48137a3a79_n.jpg,3,1
wasp/3845415284_14922f0e04_n.jpg,3,0
wasp/42674660515_85472b77b5_w.jpg,3,1
other_noinsect/food_image_107.jpg,2,3
wasp/W00218.jpg,3,0
other_insect/21870655513_283864d2a5_n.jpg,1,3
wasp/2713090769_ca2bf16a52_m.jpg,3,0
other_noinsect/flower_image_431.jpg,2,0
other_insect/42945661494_0553c97be3_n.jpg,1,0
other_insect/insect_image_173.jpg,1,3
bee/bee_image_62.jpg,0,1
other_insect/insect_image_266.jpg,1,0
bee/52034010_52af6aa3e8_n.jpg,0,1
wasp/9127908370_8f8b163606_n.jpg,3,1
wasp/wasp_image_381.jpg,3,0
bee/45553954872_ff97a2b15a_n.jpg,0,3
other_insect/43873013264_15cf7c500d_m.jpg,1,0
wasp/wasp_image_315.jpg,3,0
wasp/wasp_image_58.jpg,3,1
wasp/7543861720_1a4b479c3d_n.jpg,3,0
other_insect/insect_image_171.jpg,1,3
other_insect/46727508365_28a5c389de_m.jpg,1,3
other_noinsect/flower_image_372.jpg,2,1
wasp/wasp_image_337.jpg,3,2
other_noinsect/food_image_457.jpg,2,3
wasp/9634500031_3061da24e2_n.jpg,3,0
other_insect/animal_image_160.jpg,1,2
other_insect/insect_image_117.jpg,1,2
other_noinsect/flower_image_374.jpg,2,0
wasp/49789124062_0cfa1c8b61_n.jpg,3,0
other_noinsect/flower_image_173.jpg,2,0
wasp/2783776721_4db1aa954c_n.jpg,3,0
wasp/125007128_7598c77024_n.jpg,3,1
wasp/29259987992_ffb011a555_n.jpg,3,0
bee/41726153314_214a259bd4_w.jpg,0,1
other_insect/insect_image_60.jpg,1,2
bee/4788351920_872f036cbc_n.jpg,0,1
bee/52033120_49a69b55c0_n.jpg,0,1
bee/NP832-7r.jpg,0,3
wasp/wasp_image_459.jpg,3,0
other_insect/insect_image_280.jpg,1,3
wasp/50058543751_51f3a27d5b_n.jpg,3,2
wasp/wasp_image_255.jpg,3,0
wasp/wasp_image_214.jpg,3,1
other_insect/insect_image_479.jpg,1,3
other_insect/40469249881_ebdb54ba83_n.jpg,1,3
wasp/36858955246_df237850b6_w.jpg,3,1
wasp/48857455_f186b84c74_m.jpg,3,1
wasp/6977869677_360f0cf893_m.jpg,3,0
wasp/20658820355_933b91b6ab_m.jpg,3,0
wasp/wasp_image_296.jpg,3,0
wasp/3693625789_daae7dffa6_n.jpg,3,0
other_insect/27265699770_c84734ddc1_m.jpg,1,3
wasp/45800420805_db3ce9862d_n.jpg,3,0
wasp/141835257_14f90fffe3_n.jpg,3,1
wasp/3774852992_c148f68dcd_n.jpg,3,2
other_insect/insect_image_542.jpg,1,2
other_insect/insect_image_127.jpg,1,2
other_insect/16975765648_cb0c36369e_w.jpg,1,3
bee/5928184831_c27d994d00_n.jpg,0,1
wasp/28728056910_2acc3914e4_n.jpg,3,1
wasp/wasp_image_243.jpg,3,1
other_insect/5797334546_2aa6877023_n.jpg,1,3
wasp/4628983422_235608a455_n.jpg,3,0
bee/bee_image_235.jpg,0,2
wasp/9508633602_98e56d306e_n.jpg,3,0
wasp/2272832982_81f9346c7d_m.jpg,3,0
wasp/263941787_ba3da13cd4_m.jpg,3,0
other_insect/insect_image_234.jpg,1,2
bee/43857048194_7544c4342c_m.jpg,0,3
wasp/268118652_2402208f5a_n.jpg,3,0
wasp/wasp_image_220.jpg,3,0
wasp/14028498962_985048b75d_n.jpg,3,1
wasp/wasp_image_436.jpg,3,0
other_insect/13742178343_fe5a7ba46e_m.jpg,1,0
other_insect/insect_image_176.jpg,1,3
bee/40465916291_d4ee8d42f2_n.jpg,0,1
other_insect/14314569330_afaaf0c627_m.jpg,1,3
other_noinsect/flower_image_169.jpg,2,3
other_insect/44639171691_5da603733e_n.jpg,1,3
bee/20927043984_67d5aebd86_n.jpg,0,3
wasp/48365969717_d16f15b4be_m.jpg,3,1
other_insect/insect_image_122.jpg,1,2
wasp/49990721648_cc51df0bd4.jpg,3,2
other_insect/44235778221_652cc0af29_m.jpg,1,3
wasp/wasp_image_339.jpg,3,1
other_insect/29905370348_546be58ce4_n.jpg,1,3
wasp/wasp_image_489.jpg,3,0
wasp/wasp_image_521.jpg,3,2
other_insect/42755296212_b58b6ca526_n.jpg,1,3
bee/507878018_7c7fb0ccd2_n.jpg,0,3
wasp/wasp_image_530.jpg,3,0
bee/bee_image_233.jpg,0,1
